student_id,name,registration_date,gender,branch,city,cgpa,attendance_percent,technical_skills,projects_completed,coding_problems_solved,communication_skill,internship,has_backlog,tech_events_attended,salary_expectation,placed
STU0001,Student 1,2026-01-01,Male,mech,Prayagraj,8.03,89.2,2,3,77,7.6,No,No,3,339045,Yes
STU0002,Student 2,2026-02-02,Male,computer science,Jaunpur,6.45,93.1,6,2,223,6.7,No,No,3,798373,Yes
STU0003,Student 3,2026-03-03,Male,CSE,Kanpur,8.02,83.6,5,2,284,6.4,Yes,Yes,5,489468,Yes
STU0004,Student 4,2026-04-04,Female,eee,Noida,5.35,71.3,7,2,138,5.2,Yes,No,2,659375,No
STU0005,Student 5,2026-05-05,Male,electronics,Kanpur,7.89,71.7,7,1,134,3.8,No,Yes,1,648236,Yes
STU0006,Student 6,2026-06-06,Female,CSE,Lucknow,7.11,120.0,3,2,71,5.3,No,No,3,475412,Yes
STU0007,Student 7,2026-07-07,Female,it,Jaunpur,6.55,55.8,6,4,57,6.3,Yes,No,1,871926,Yes
STU0008,Student 8,2026-08-08,Female,it,Gorakhpur,6.77,56.7,7,0,3,4.2,No,Yes,4,608896,No
STU0009,Student 9,2026-01-09,Female,ece,Lucknow,8.37,78.2,6,1,121,5.9,No,No,2,337674,Yes
STU0010,Student 10,2026-02-10,Male,it,Jaunpur,8.12,63.4,8,2,101,6.8,Yes,No,7,459596,Yes
STU0011,Student 11,2026-03-11,Female,electrical,Noida,5.85,56.8,10,2,355,4.0,Yes,No,2,624266,Yes
STU0012,Student 12,2026-04-12,Male,cse,Prayagraj,4.94,75.3,5,2,1400,3.6,Yes,Yes,3,668385,Yes
STU0013,Student 13,2026-05-13,Female,civil,Noida,7.47,78.5,4,1,482,9.4,No,No,2,815287,No
STU0014,Student 14,2026-06-14,Male,ece,Varanasi,7.02,61.1,5,2,0,3.4,Yes,Yes,2,292255,No
STU0015,Student 15,2026-07-15,Male,mech,Lucknow,6.93,86.9,7,1,15,5.6,Yes,Yes,0,653738,Yes
STU0016,Student 16,2026-08-16,Male,mech,Lucknow,7.26,76.0,5,0,168,9.8,No,No,0,305269,Yes
STU0017,Student 17,2026-01-17,Male,civil,Prayagraj,8.22,82.4,4,4,149,6.3,No,No,2,468178,No
STU0018,Student 18,2026-02-18,Male,eee,Varanasi,5.51,88.1,6,2,336,7.0,No,No,5,396566,Yes
STU0019,Student 19,2026-03-19,Female,electrical,Kanpur,7.28,92.4,8,1,0,5.9,No,No,5,9000000,Yes
STU0020,Student 20,2026-04-20,Female,cse,Kanpur,4.68,80.3,6,4,0,8.7,No,No,5,360064,Yes
STU0021,Student 21,2026-05-21,Female,computer science,Delhi,6.04,74.2,9,4,339,7.5,No,Yes,2,902935,Yes
STU0022,Student 22,2026-06-22,Female,computer science,Noida,5.44,58.5,3,3,10,1.8,No,No,3,580413,No
STU0023,Student 23,2026-07-23,Female,cse,Varanasi,7.00,78.8,8,2,165,7.5,No,No,2,714875,No
STU0024,Student 24,2026-08-24,Male,mechanical,Prayagraj,8.66,75.0,9,2,2,,Yes,No,2,321080,Yes
STU0025,Student 25,2026-01-25,Male,electrical,Noida,6.53,68.5,4,4,338,5.4,No,No,3,626730,Yes
STU0026,Student 26,2026-02-26,Male,civil,Varanasi,7.38,91.1,5,3,0,2.3,Yes,Yes,2,338339,No
